skeptical, adj. 怀疑的
Venus, n. [天] 金星；维纳斯（爱与美的女神）
suffuse," vt. 遍布..., 弥漫, 充满"
solo," n. 独奏,独唱
adj. 单独的
adv. 单独地
vt. &vi. 放单飞, 单独表演"
marketplace," n. 集会场所, 市场
商场"
unexceptionable," adj. 无懈可击的, 极好的, 完全的"
importation, n. 进口
reassessment, n. 重新评估
schematic," adj. 扼要的, 图解的"
adverse, adj. 不利的；有害的；反面的
reluctance," n. 不愿, 勉强, 厌恶"
duplicity," n. 口是心非,不诚实,表里不一"
ludicrous," adj. 荒谬的, 可笑的，滑稽的"
programmer," n.程序员, 程序规划员 ,节目编排者
=programer（英）"
manuscript," adj. 手抄的
n. 手稿, 原稿"
pitiful," adj. 慈悲的, 可怜的"
assimilate," v. 使同化，吸收n. 被同化的事物"
dogmatism, n. 武断，教条主义，独断论
fracture," n. 破碎,骨折
vt. 破碎,破裂
vi. 断裂"
quantifiable, adj. 可以计量的，可量化的
vaguely," adv. 含糊地, 暧昧地"
apologetic," adj. 道歉的, 认错的, 赔罪的
n. 辩护"
spouse," n. 配偶
vt. 和...结婚"
subsequently," adv. 后来, 随后"
assemblage," n. 集合，装配, 装配艺术品"
subtle," adj. 微妙的,敏感的,精细的,狡诈的,不明显的"
modernize, v. (使) 现代化
disaffected," adj. 不忠的，不满的
动词disaffect的过去式和过去分词形式"
enervate," adj.无力的，衰弱的
vt. 使无力，使衰弱"
permanence," n. 永久, 持久"
staple," n. 主要产物(要素),原料(地),U形(订书)钉
adj. 主要的,重要的
vt. 用订书机装订"
unoriginal," adj. 非原先的(无独创精神的, 模仿的, 抄袭的)"
ambitious," adj. 热望的, 有雄心的, 有抱负的"
drawbridge, n. 吊桥
cortical," adj. 皮层的, 皮质的, 有关脑皮层的"
streak," n. 条理,斑纹,倾向,少许,痕迹
vt. &vi. 加条纹,变成条纹,奔驰,快速移动"
realism," n. 写实主义, 现实主义"
archaeologist, n. 考古学家
expire," vi. 期满,失效,终止,断气
vt. 呼气"
sublime," adj. 高尚的，壮观的,卓越的
vt. 提高,变高尚，升华
n. 顶峰,高尚"
Arctic," adj. 北极的,极寒的
n. （首字母大写时）北极圈,北极地方"
irrelevant," adj. 不恰当的,无关系的,不相干的"
extravagant," adj. 奢侈的,浪费的,过度的,大量的"
imposition," n. 征收, 课税, 税款，强迫接受，过分要求，欺骗
[印刷]拼版"
proscribe, vt. 不予法律保护(排斥)
irresolvable," adj. 不能分解的, 不能分离的, 不能解决的"
dreamer," n. 做梦的人, 梦想者"
yarn," n. 纱;奇谈，故事
vt. 用纱线缠
vi. 讲故事"
artifact," n. 人工制品(制造物,石器)"
supersede," vt. 取代,接替,使放在一边"
termite, n. 白蚁
surmount," vt. 克服, 越过，登上...最高点"
cohesion," n. 凝聚力, 团结"
promptly," adv. 敏捷地,迅速地"
forerunner, n. 先驱，祖先，预兆，[体育]赛前试滑滑道的人
foreseeable, adj. 可预见到的
tightly," adv. 紧紧地, 坚固地"
regression," n. 复原,逆行,退步"
dialogue," n. 对话
vt.& vi. 对话"
indulgence," n. 沉溺,放纵,嗜好
n. 【宗】(天主教)特赦;豁免"
imbalance," n. 不平衡,失调"
maturation, n. 化脓，成熟
indecisive," adj. 非决定性的,犹豫不决的"
transplant," vt. 移居, 移栽(植物), 移植(器官)
vi. 能经得住移植
n. 移植, 被移植的事物"
deliberation," n. 熟虑, 审议"
discontinuity, n. 断绝，中断，不连续
deduction," n. 减除(额), 推论"
ornamental," adj. 装饰的
n. 装饰品"
unadorned," adj. 没有装饰的(不加渲染的,原来的,自然的)"
originality, n. 独创性，创造力，新颖
futile," adj. 无效的, 无用的"
industrialization, n. 工业化
quiescence," n. 静止状态，沉寂, 不动"
indirection," n. 间接, 不坦率，欺骗，漫无目标"
fortress," n. 堡垒, 要塞, 防御工事"
amelioration," n. 改善, 改良, 改进"
foster," adj. 收养的,养育的
v. 养育,抚育,培养
n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特"
autonomy, n. 自治
vitalism," n. 活力论,生机说"
anthropologist, n. 人类学家
structuralism, n. 构造主义，结构主义
fuse," n. 保险丝,引线,导火线
vt. 熔化,融合,装导线,装引信于
vi. 熔化,融合"
remission," n.缓解，减轻，弛张：疾病症状的减退，亦指发生这一减退的期间，即缓解期...
饶恕; 宽恕; (负债、处分等的)豁免, 赦免..."
cherish," vt. 珍爱,抚育,珍藏"
loquacity," n. 好辩, 多嘴, 喧噪"
dupe," n. 受骗的人, 上当者
vt. 欺骗, 愚弄"
contemporaneous," adj. 同时期的, 同时代的"
goodwill," n. 善意, 亲切, 友好; 商誉, 信誉."
citizenry, n. （总称）公民，市民
orderliness, n. 整洁，整齐；秩序井然
unsolved, adj. 未解决的
Quaker, n. 教友派信徒
apprenticeship," n. 学徒的身分, 学徒的年限"
virtual, adj. 虚拟的；有效的；实质上的，事实上的
perish," vt. 毁减,死亡
vi. 毁灭"
castigate," v. 惩罚,苛评, 惩治, 严厉批评; 谴责"
glorify," vt. 赞美, 美化"
uncanny," adj. 神秘的, 不可思议的"
bract," n. 苞叶, 苞"
metabolism, n. 新陈代谢
availability," n. 有效,有用,有益；可得到的人(或物)"
periodically, adv. 周期性地，定期地
gradient," n. 倾斜度,坡度,升降率
adj. 倾斜的,步行的,步行态的"
unfriendly, adj. 不友好的，有敌意的
genesis," n. 起源，发生
Genesis：《创世纪》（旧约圣经第一卷）"
idealist," n. 唯心主义者，理想主义者
adj. 唯心主义的，理想主义的"
overwrought, adj. 过分劳累的，过度兴奋的，过分装饰的
polarity," n. 有两极, 磁性引力, 极性
n. 两极分化, 极端性"
backfire," n. 逆火, 后爆的巨大响声
vi. (指内燃机等)逆火, 适得其反, 产生事与愿违的结果"
electorate," n. 选民, 有选举权者, 选区"
rationalization, n. 合理化
impair," vt. 损害,削弱
[计算机] 损伤"
assuredly," adv. 确实地, 确信地"
potshot, n. 近距离射击(肆意抨击)
insatiable," adj. 不知足的, 贪求无厌的"
politicize, vt. 使 ... 政治化
urine, n. 尿
cornerstone, n. 隅石，奠基石
grudging, adj. 吝惜的
infrequent, adj. 不频发的，不常见的
charter," n. 特许(状),执照,宪章,契据
vt. 特许,发特许执照
adj. 特许的"
gullible, adj. 易受骗的，轻信的
complementary," adj. 补充的, 互补的"
unavailing," adj. 无益的, 无用的, 无效的"
precursor," n. 先驱者,前导,先进者"
misuse," vt.&amp;n. 误用,滥用"
